t_sec      qx           qy           qz           qw
 22.250  -0.873774685  -0.023490140   0.116753668   0.471523695
 22.500  -0.873863533  -0.023621906   0.116946944   0.471304512
 22.750  -0.873952156  -0.023753585   0.117140086   0.471085551
 23.000  -0.874040554  -0.023885179   0.117333093   0.470866810
 23.250  -0.874128728  -0.024016687   0.117525966   0.470648290
 23.500  -0.874216677  -0.024148108   0.117718705   0.470429992
 23.750  -0.874304401  -0.024279444   0.117911310   0.470211915
 24.000  -0.874391902  -0.024410694   0.118103780   0.469994061
 24.250  -0.874479178  -0.024541858   0.118296116   0.469776428
 24.500  -0.874566231  -0.024672937   0.118488317   0.469559019
 24.750  -0.874653061  -0.024803929   0.118680384   0.469341832
 25.000  -0.874739667  -0.024934835   0.118872316   0.469124868
 25.250  -0.874826050  -0.025065655   0.119064114   0.468908128
 25.500  -0.874912210  -0.025196389   0.119255777   0.468691612
 25.750  -0.874998147  -0.025327037   0.119447306   0.468475319
 26.000  -0.875083862  -0.025457599   0.119638700   0.468259251
 26.250  -0.875169355  -0.025588076   0.119829959   0.468043407
 26.500  -0.875254626  -0.025718466   0.120021083   0.467827789
 26.750  -0.875339675  -0.025848770   0.120212073   0.467612395
 27.000  -0.875424502  -0.025978988   0.120402928   0.467397227
 27.250  -0.875509108  -0.026109120   0.120593648   0.467182285
 27.500  -0.875593493  -0.026239166   0.120784234   0.466967569
 27.750  -0.875677657  -0.026369126   0.120974684   0.466753079
 28.000  -0.875761600  -0.026498999   0.121165000   0.466538815
 28.250  -0.875845322  -0.026628787   0.121355181   0.466324779
 28.500  -0.875928824  -0.026758489   0.121545227   0.466110970
 28.750  -0.876012106  -0.026888104   0.121735138   0.465897388
 29.000  -0.876095168  -0.027017633   0.121924914   0.465684033
 29.250  -0.876178011  -0.027147077   0.122114555   0.465470907
 29.500  -0.876260633  -0.027276434   0.122304061   0.465258009
 29.750  -0.876343037  -0.027405705   0.122493432   0.465045340
 30.000  -0.876425221  -0.027534890   0.122682668   0.464832899
 30.250  -0.876507187  -0.027663988   0.122871769   0.464620688
 30.500  -0.876588934  -0.027793001   0.123060735   0.464408705
 30.750  -0.876670462  -0.027921927   0.123249565   0.464196953
